created_at,text,sentiment
2023-02-13 20:52:37+00:00,"Just saw a man with an 8ft teddy bear going up the stairs in my apt complex.

He looked so excited. It was too cute",0.7283
2023-02-13 20:52:40+00:00,"Beings ‘disadjustments'. Whichever, DreamscapesIf Attorney, Organisation
؟?
نمشے

🔹VOX2🔹
🔹VOX2🔹
🔹VOX2🔹",0.0
2023-02-13 20:52:40+00:00,We are finally less shit 😻,-0.5118
2023-02-13 20:52:40+00:00,"Educate yourself

- Read books
- listen to Podcasts
- Watch YouTube videos
- Sign up to Newsletter's

Take content from anywhere and everywhere. Learn from people of all experiences and fields.

The learning never stops.

See below for some useful sources that helped me:",0.5178
2023-02-13 20:52:41+00:00,"My future wife will enjoy me tire
I just learnt how to prepare Indomine yesterday 
Next year how to make eba",0.4939
2023-02-13 20:52:42+00:00,Just witnessed an electrifying performance from Darwin Nunez in the first half! #LIVEVE #MerseysideDerby,0.0
2023-02-13 20:52:42+00:00,How do you tell a nigga the sex is terrible,-0.4767
2023-02-13 20:52:42+00:00,2 under 2 life is really the best 🤞🏼🤍,0.6682
2023-02-13 20:52:42+00:00,Bajcetic is class,0.0
2023-02-13 20:52:43+00:00,"Trainer Resilience. ""doctor"" ""read"" (Leonard Well-informed
؟?
سيفے

🔹FN77🔹
🔹FN77🔹
🔹FN77🔹",0.0
2023-02-13 20:52:44+00:00,Among Us Is Funny As Fuck ;;,-0.1531
2023-02-13 20:52:47+00:00,"feedback Pledge bleak Forgets Tongues indignant
؟?
نمشے

🔹FUN273🔹
🔹FUN273🔹
🔹FUN273🔹",-0.4215
2023-02-13 20:52:49+00:00,My manager really think im picking up hours to help shid my birthday on the way 🤣,0.4019
2023-02-13 20:52:50+00:00,"antenna Tenebrous Big U. Word barrier.
؟?
سيفے

🔹X5🔹
🔹X5🔹
🔹X5🔹",-0.128
2023-02-13 20:52:50+00:00,"So I thought about it, and I'd probably be a Nature Valley Granola Bar. Delicious, nutritious, convenient, but no matter how careful you ar  it frustrating leaves little, annoying crumbs everywhere it goes. It bugs people, but not enough to stop eating them #NatureValley #Snacks",-0.616
2023-02-13 20:52:50+00:00,my back is killing me.,-0.6597
2023-02-13 20:52:54+00:00,The maid did it!,0.0
2023-02-13 20:52:54+00:00,"Fortune baby’s native Honest Missed adhesives
؟?
نمشے

🔹CX10🔹
🔹CX10🔹
🔹CX10🔹",0.2732
2023-02-13 20:52:54+00:00,I know the ASAP jokes are just for fun but omg rest now.,0.3919
2023-02-13 20:52:55+00:00,I know Valentine’s Day is a stupid holiday and I’m in a stable relationship but my lil heart is sad that Tommy and I are in tech for two different shows and won’t see eachother at all this week even though we live together 😟,-0.5994
2023-02-13 20:52:55+00:00,I'll be disappointed if this turns out anything other than Aliens,-0.4767
2023-02-13 20:52:56+00:00,Got a room for EF. Thankfully there’s plenty of time to think about the financial impact. 😅💦,0.4215
2023-02-13 20:52:56+00:00,"i’m so serious i am the least disciplined person on earth but at least 1 hour a day is crucial! and don’t worry about making masterpieces, filling every inch of your sketchbook with shitty art is like the most important part!",0.2908
2023-02-13 20:52:57+00:00,i love harrassing trans people,0.6369
2023-02-13 20:52:57+00:00,I will scream if I see another tweet of someone saying they were unimpressed with Rihanna’s performance….She literally performed in the sky while pregnant???,-0.6848
2023-02-13 20:52:58+00:00,"Much a people’s religion is a blessing or
؟?
نمشے

🔹H4🔹
🔹H4🔹
🔹H4🔹",0.4939
2023-02-13 20:52:59+00:00,Keep your eyes on your own life,0.0
2023-02-13 20:53:01+00:00,"/ /

I unfortunately struggle to follow other Shiho's back due to the amounts of times I've seen them A.) Be lewd focused, and B.) Be lewd focused and interact with Kamoshida's. Gives me the creeps.",0.128
2023-02-13 20:53:01+00:00,Everyone just needs to listen to the Veronica’s for a day and stfu,0.0
2023-02-13 20:53:01+00:00,this cuphead show is moving me,0.0
2023-02-13 20:53:01+00:00,"Craziest - Naughtiest Dropbox.
Hmu 
#buyingcontentuk",-0.0516
2023-02-13 20:53:02+00:00,"evolve, Sunday Introduction Ego-oriented beastIn Hatred,
؟?
سيفے

🔹AX🔹
🔹AX🔹
🔹AX🔹",-0.6369
2023-02-13 20:53:04+00:00,Well I can add this to things that make me feel worthless,-0.2023
2023-02-13 20:53:04+00:00,"why does The Last of Us hurt me every single week, i need to stop getting attached",-0.6808
2023-02-13 20:53:05+00:00,The #Salt deduction limit has cost me more than 20 thousand dollars over the last 4 years. #Trump #Taxcut my a**.,0.0
2023-02-13 20:53:07+00:00,Chaotic as target. Learn to listen to – these,-0.4939
2023-02-13 20:53:08+00:00,"Been super exhausted all day, but I have tomorrow free. Gonna try out Dark and Darker then.",0.7311
2023-02-13 20:53:08+00:00,right person wrong time is so ass until the right time comes with that same right person.,-0.822
2023-02-13 20:53:09+00:00,I WILL GET OLDER BUT YOUR LOVERS WILL STILL BE MY AGEEEE,0.6808
2023-02-13 20:53:10+00:00,mfalni grat e kqija for comparing y’all to those albanian garbages 😭,0.0
2023-02-13 20:53:11+00:00,"""Never be afraid to fall
apart because it is an
opportunity to rebuild
yourself the way you wish
you had been all along.""",0.6705
2023-02-13 20:53:13+00:00,"Succeeding wealthiest afternoon. ""hang-ups. Confessions Unfailing
؟?
سيفے

🔹FN77🔹
🔹FN77🔹
🔹FN77🔹",0.7506
2023-02-13 20:53:13+00:00,Lots of positives in first half. Let’s maintain intensity and get a few more goals,0.5267
2023-02-13 20:53:14+00:00,you can tell a lot about a person based on their groupme profile picture,0.0
