created_at,text,sentiment
2023-02-13 14:19:19+00:00,rihanna ter cantado all of the lights ontem tem um valor emocional enorme pra mim,0.0
2023-02-13 14:19:22+00:00,"I am excited, but my problem with the Flash movie is it’s THE FLASH. This is his DEBUT movie, the average person doesn’t know shit about him, and yet it’s a DCEU Flashpoint. This would make more sense as a third movie than a first.",-0.8294
2023-02-13 14:19:21+00:00,Oh not now Woj I can’t do this now,0.0
2023-02-13 14:19:24+00:00,First time ko magcecelebrate ng valentine's day bukas if ever🥲,0.0
2023-02-13 14:19:32+00:00,"Looking for new mutuals, especially  snbt 23, 22, 21 fighter!~
Wanna be my moots?",0.0
2023-02-13 14:19:33+00:00,"Save the date!  MISA Canada’s annual Executive Summit is being held in the Old City of Montreal June 20-22, 2023. #MCES2023",0.5411
2023-02-13 14:19:33+00:00,"People believe passions of an ice-covered landscape like a mannequin. Between
؟?
نمشے

🔹H4🔹
🔹H4🔹
🔹H4🔹",0.6908
2023-02-13 14:19:34+00:00,I love @ThegirlJT she so different 💕,0.6369
2023-02-13 14:19:36+00:00,borrowing annotated books from friends and getting these little insights on what goes through their heads when they're reading is one of my favourite things,0.4767
2023-02-13 14:19:37+00:00,"It inevitably servitude. It compels us to stayeth or leaveth.
؟?
نمشے

🔹W77🔹
🔹W77🔹
🔹W77🔹",0.0
2023-02-13 14:19:39+00:00,"ASAP sucked at rap, so he decided to be a Baby Daddy &amp; collect child support payments. A forward-thinking King.",-0.0772
2023-02-13 14:19:41+00:00,"""No matter how your heart is grieving, if you keep on believing, the dream that you wish will come true.""",-0.1779
2023-02-13 14:19:41+00:00,"I get the whole you can't make that call at that point in a game, but a penalty is a penalty regardless of the stage of the game it is in!",-0.8516
2023-02-13 14:19:44+00:00,i painted the starts super questionably I KNOW,0.5994
2023-02-13 14:19:44+00:00,"Haters will broadcast your failure, but whisper your success...
_bushra...
PRIYANKA WON FOR LIFE",0.5993
2023-02-13 14:19:44+00:00,"“Failure is simply the opportunity to begin again, this time more intelligently.” — Henry Ford-6Q5Vctse1L",0.4215
2023-02-13 14:19:45+00:00,This is the first ever derby match I’m not confident for. Hope they turn up tonight,-0.6167
2023-02-13 14:19:45+00:00,Morning you beautiful people! Stream tonight! :D hope you all had a great Superbowl Sunday!,0.9502
2023-02-13 14:19:45+00:00,"Liar. (Knowledge Possessions Passeth gut, Unprotifable!
؟?
نمشے

🔹FUN273🔹
🔹FUN273🔹
🔹FUN273🔹",-0.5562
2023-02-13 14:19:44+00:00,"A massive mistake to scrap VAR @GNev2 How on earth do you come up with that response? VAR &amp; the frankly ridiculous rule changes, etch a sketch &amp; transit van have made no improvements or enhanced the game of Association Football. Why are pundits like yourself not saying so?",-0.3939
2023-02-13 14:19:44+00:00,"too.! Them,so Employees Qualify Blooms channeled
؟?
سيفے

🔹JK18🔹
🔹JK18🔹
🔹JK18🔹",0.0
2023-02-13 14:19:45+00:00,I woke up fine and now I feel sick I’m so ughhhh,-0.3612
2023-02-13 14:19:44+00:00,"spreading the news, the nickname roro is gatekept and mine rararararara I'm mentally 5 leave me alone",-0.296
2023-02-13 14:19:46+00:00,#BahriaTownMafiaExposed save sindh,0.4939
2023-02-13 14:19:47+00:00,"The state government and the central government have become hostages of the capitalists. @Zydus workers' indefinite sit-in protest from June 17, 2022, demanding resumption of work.
 #SaveSidculOpenZydus",-0.4404
2023-02-13 14:19:47+00:00,"If you ever do leg day, make sure you eat a lot the day after your session. I felt so dizzy even after lunch because I was eating smaller portions than to what I’m usually accustomed to eating.",-0.0493
