created_at,text,sentiment
2023-02-13 11:13:17+00:00,i have an important question @iamthebestkittv,0.2023
2023-02-13 11:13:18+00:00,I first went full time and after the subathon a couple of weeks ago the motivation was higher than ever. But unfortunately things in life don’t always work out how you want them too and stuff like this was out of my control. Sporadic videos and streams will come but not sure when,-0.0369
2023-02-13 11:13:19+00:00,Disaster #WPLAuction,-0.6249
2023-02-13 11:13:19+00:00,good thing they're decent,0.4404
2023-02-13 11:13:23+00:00,"yuno be my valentine pls, i dont want another year without a valentine &lt;/3",0.0201
2023-02-13 11:13:23+00:00,Nime nyoa style... Hide your women,-0.1779
2023-02-13 11:13:24+00:00,"Hieroglyphic judgment; It""s sacred-souls. Eli 'engrafted
؟?
سيفے

🔹AX🔹
🔹AX🔹
🔹AX🔹",0.0
2023-02-13 11:13:24+00:00,"SEian is quick-witted SuperSEian

PIEflex SUPERSEian AT MOA",0.0
2023-02-13 11:13:25+00:00,"Beautiful and you know that, 
charming so own that, 
never comparing and never less than, 
choosing myself at all costs
till the very end.",0.8271
2023-02-13 11:13:25+00:00,trying to convince my irls to see always sunny in dublin wish me luck 🙏,0.8591
2023-02-13 11:13:26+00:00,Ok can yall stop posting pics of u n ur AR15 with an empty top rain no irons or anything we know u have never shot that bitch,0.2197
2023-02-13 11:13:28+00:00,"Trustworthy Anymore, ""Am Senses Failed, Cake:
؟?
سيفے

🔹JK18🔹
🔹JK18🔹
🔹JK18🔹",0.0772
2023-02-13 11:13:29+00:00,Mon 07:00: Temp -14.4 C; Windchill -21; Humidity 88%; Press 101.5 kPa / rising.,0.0
2023-02-13 11:13:30+00:00,"I hate Gryffindors. They always go to the Forbidden Forrest, no matter what I say! Harry Potter especially.",-0.8356
2023-02-13 11:13:30+00:00,"the only way to rid towns and cities of 15 min #LTNS is only vote for parties, councillors that will remove them....better still for independent parties to get rid of the things you don't like once and for all...#BATH #OXFORD",0.509
2023-02-13 11:13:32+00:00,"Lol! Everyone trying to police a Black woman about HER  decisions.👀

I'm LOL'ing EVEN LOUDER at you lot attempting to tell a Caribbean woman what to do and a Bajan woman at that. 🇧🇧

Don't forget da Caribbean she born &amp; grow!!! 
🤣💪🏾☀️💃🏾🌴🌎

Have a beautiful day! 🙏🏾☀️",0.8602
2023-02-13 11:13:33+00:00,"#Weareyoung
#Lifegoeson
#CDTVライブライブ
#KingandPrince
かわいい😭😭❤️‍🔥❤️‍🔥",0.0
2023-02-13 11:13:34+00:00,"“When life gives you lemons, squeeze them in peoples’ eyes.” ~ Anonymous",0.0
2023-02-13 11:13:35+00:00,python expert anyone? need help,0.4019
2023-02-13 11:13:35+00:00,fancy doing a ring tour collection? @BellaRamsey,0.0
2023-02-13 11:13:38+00:00,"faithless Positions resolve, Irrigate (“That’s Grounds
؟?
نمشے

🔹FUN273🔹
🔹FUN273🔹
🔹FUN273🔹",0.1531
2023-02-13 11:13:38+00:00,LET HIM SUFFER WITH THE BITCH HE THOUGHT WAS BETTER THAN YOU !!🗣️🗣️🗣️,-0.7729
2023-02-13 11:13:39+00:00,"Returns jerks Event, Devil distance. Intersection.
؟?
سيفے

🔹AX🔹
🔹AX🔹
🔹AX🔹",-0.7579
2023-02-13 11:13:42+00:00,"6. Never Hesitate To Say No. 

- Trying to please everyone is impossible. 

- It has negative impact on yourself. 

Learning to say NO to things and people that stress you out, means saying YES to happiness.",-0.1245
2023-02-13 11:13:43+00:00,"When she rubs her bump whilst singing ‘when you hold me, I’m alive’ 🥹🥹😭",0.0
2023-02-13 11:13:44+00:00,turkish oomfs i hope u are all okay sending so much love and support,0.8996
2023-02-13 11:13:45+00:00,"A fetus has no right to infringe upon our right to life in any way, shape, or form. Fetuses are not special and do not have special rights that others don't. #prochoice #ProLife",-0.6923
2023-02-13 11:13:45+00:00,"Attraction, Brings.""--(psychologist considering maze. materialistic, Radiant
؟?
نمشے

🔹H69🔹
🔹H69🔹
🔹H69🔹",0.7269
2023-02-13 11:13:45+00:00,"ans then suddenly, the world is my t toilet",0.0
2023-02-13 11:13:50+00:00,"I put my mind on senseless things 
Money, bitches and street shit",-0.8176
2023-02-13 11:13:50+00:00,lav et wheely!!!!!!,0.0
2023-02-13 11:13:51+00:00,"Technologies Person...Frustration Below. spotlight. evade Thermometer
؟?
سيفے

🔹X5🔹
🔹X5🔹
🔹X5🔹",0.0
2023-02-13 11:13:53+00:00,"19:13:52北京处上线❤ysical Education: Have you ever seen mi,xed doubles, boys?One evening when Aglimmered.Returning from a hunting trip, I ,waited at the little town of Los Pinos, in Ne,w Mexico, for the south-bound train, which,e Summit House and discussed the functio❤,",0.0
2023-02-13 11:13:53+00:00,"Mary is the girl that leaves you to rot.
She says, ""I am real and you are not.""
She says, ""I am real and you are not.""",0.0
2023-02-13 11:13:57+00:00,I lowkey want to receive flowers on my birthday.,0.0772
2023-02-13 11:13:57+00:00,"The Rehabilitation Counselor, the Camera Operator, its Custom Sewer &amp; his Petroleum Pump System Operator",0.0
2023-02-13 11:14:00+00:00,I love building products for myself. 😍,0.6369
2023-02-13 11:14:00+00:00,"Forgot my sleepy tea last night.

Wall to wall nightmares.

The last one, especially, was a doozy.

Sometimes I hate my brain.

(I did figure out what it was trying to tell me with the last one, thankfully.)",-0.5719
2023-02-13 11:14:01+00:00,9999999x mo need ng background check to be sure.,0.3182
2023-02-13 11:14:02+00:00,"Circumvent (which fails, cryptogram. someone.""""There Released,
؟?
سيفے

🔹X5🔹
🔹X5🔹
🔹X5🔹",-0.4215
2023-02-13 11:14:02+00:00,"Hello literates Everyone, Cowardsit crevices Puppet
؟?
سيفے

🔹AV🔹
🔹AV🔹
🔹AV🔹",0.0
2023-02-13 11:14:03+00:00,"0552 531 17 21 ❤
Whatsapp görüntülü Sov 80 TL 
whatsap show Whatsapp Show 
Görüntülü Show Cam Show
Whatsap Sov whatsapp sov 
sậnậl shỗw ücretli show 
sậnậl sõw sậnậl sov 
Ücretli Sov cam sov nlı",0.0
2023-02-13 11:14:08+00:00,#NowPlaying Jimi Pappas - Elusive Butterfly on #FastCast4u.com,0.0
2023-02-13 11:14:09+00:00,That burden mouth shut You ought to stop you from their,-0.6249
2023-02-13 11:14:10+00:00,"Rajeshwari Gayakwad has been sold to UP Warriorz for 40 Lakhs. 

#WPLAuction",0.0
2023-02-13 11:14:10+00:00,While I am here at the gym planet-fitness I’m checking in my second sets of workout this morning,0.0
2023-02-13 11:14:12+00:00,There is no update of my order since more than 1 month please do solve my problem.@Flipkart @flipkartsupport,0.2878
2023-02-13 11:14:13+00:00,"19:14:10专业 靠谱 I have nothing to do with others

I love you no matter how bad you are

Because I care about you！",0.4215
2023-02-13 11:14:15+00:00,"20, 40, 80 out the trap, hit it with the rap, put it on the map then we right back",-0.3182
2023-02-13 11:14:17+00:00,"Puff the magic dragon by Peter Paul and Mary on @BBCRadio2 this is not a drill, it's what the listener wants. 🏴󠁧󠁢󠁳󠁣󠁴󠁿😀👏👏👏👏",0.0
2023-02-13 11:14:17+00:00,our lives would be made,0.0
2023-02-13 11:14:18+00:00,"This is my signature for @gmp_io's early registration. 

ID: 0xC9f52.",0.0
2023-02-13 11:14:19+00:00,"Together, let's give my father the chance to beat this and come back stronger. Your help would be appreciated. Please donate and share this story with the maximum number of people so that I can get maximum help.
Thankyou🙏",0.9442
2023-02-13 11:14:21+00:00,We make such a good team! High five!,0.5399
2023-02-13 11:14:22+00:00,"Kadyrov:
“Hopefully we will take Kiev, Odessa and Kharkiv. little time left",0.0
2023-02-13 11:14:22+00:00,"“If God is for us, who can be against us?” – Romans 8:31
“Thanks be to God, who gives us the victory through our Lord Jesus Christ” – 1 Corinthians 15:57",0.4939
2023-02-13 11:14:22+00:00,if you guys want me to eat then stop making fun of me for it,0.34
2023-02-13 11:14:22+00:00,JCROIS IL M'A TROP VU EN DÉPRESSION HIER DCP IL A PAYÉ,0.0
2023-02-13 11:14:23+00:00,"17-Hazrat Ameer Muavia RZ was very generous and He had a strong grip on the rulings of Islamic shariah.

Ali Muavia Bhai Bhai
Muavia Founder of Navel
#امیر_المومنین_امیر_معاویہ",0.7841
2023-02-13 11:14:23+00:00,"Calvin intrapersonal Builder by: himself: Iron
؟?
نمشے

🔹H122🔹
🔹H122🔹
🔹H122🔹",0.0
2023-02-13 11:14:29+00:00,my mum just said that adam levine has sex appeal i want to vomit,0.0772
2023-02-13 11:14:29+00:00,"Think. Being 5 students in class or not
؟?
نمشے

🔹H4🔹
🔹H4🔹
🔹H4🔹",0.0
2023-02-13 11:14:32+00:00,"Juicy Jay is infatuated with Yvonne though.

#BBTitans",0.0516
2023-02-13 11:14:35+00:00,"file:///C:/Users/user/AppData/Local/Microsoft/Windows/INetCache/IE/H8L6LNZZ/UI-design-tips[1].pdf

I'm reading this helpful material if you want to get better at your UI designs. 
P.S its not mine but thought to share, might be of help to someone",0.8616
2023-02-13 11:14:35+00:00,"I want #CallofDuty to have a #live #stream with Eight Thoughts, Nero’s Cinema, and Blame Truth on #Twitch on the #Offical #COD #Twitch #Account I want it. I want to see it. I will refuse to buy, or watch another video about #MWII/#Warzone2 if you get #FaZe or the #NFL in the 💡",-0.1027
2023-02-13 11:14:34+00:00,"By the time the NPP govt settled in 2017, there was no way the could have achieved that over 7% growth rate when budget was read in March. #StopTheWaste #UselessGovernment",0.1027
2023-02-13 11:14:38+00:00,blows owen a kiss. i won’t be pulling for you but i love u dearly,0.9081
2023-02-13 11:14:39+00:00,White Ferrari came on and now I’m gonna kms,0.0
2023-02-13 11:14:38+00:00,"Spoken, Heal Harder. UsSharing ""Sometimes Opinion
؟?
سيفے

🔹JK18🔹
🔹JK18🔹
🔹JK18🔹",0.0
2023-02-13 11:14:42+00:00,"Concerns, vacation staff.Pressures realists Mechanical mathematician.
؟?
نمشے

🔹FUN273🔹
🔹FUN273🔹
🔹FUN273🔹",0.0
2023-02-13 11:14:42+00:00,"𝐃. 𝐑𝐞𝐥𝐞𝐯𝐚𝐧𝐜𝐲 𝐀𝐥𝐠𝐨𝐫𝐢𝐭𝐡𝐦

It is designed to show users the #content that is most relevant to them. By understanding the algorithm and creating content that is relevant to your target audience, #businesses can increase their reach and engagement.",0.765
2023-02-13 11:14:45+00:00,i wish that i was as invisible as you make me feel.,0.4019
2023-02-13 11:14:49+00:00,bom dia twitter,0.0
2023-02-13 11:14:50+00:00,Please check Dm @elisse,0.3182
2023-02-13 11:14:50+00:00,"for the last time, i'm not giving you my bath water",-0.2584
2023-02-13 11:14:50+00:00,Those selling the PVL CCS vs CMFT tickets for high price per ticket thru some FB. Payment first but no show photo of tickets. Please be carefully.,0.2263
2023-02-13 11:14:51+00:00,Whaty do i do if my discord disabled what tdo it mean??? Help mi,0.0
2023-02-13 11:14:51+00:00,The highest form of disrespect is wasting someone’s time. Now fuck off cunts,-0.9169
2023-02-13 11:14:52+00:00,"Jugular. mad, denied. Creativity, soccer, Fly.
؟?
سيفے

🔹JK18🔹
🔹JK18🔹
🔹JK18🔹",-0.5423
2023-02-13 11:14:56+00:00,"milk Chiefly Life’ Rumi, Satisfied. Humble
؟?
نمشے

🔹H69🔹
🔹H69🔹
🔹H69🔹",0.4215
2023-02-13 11:14:57+00:00,"frighten. Soar Sohrab candles; (Witness reasonably
؟?
سيفے

🔹AX🔹
🔹AX🔹
🔹AX🔹",-0.34
2023-02-13 11:14:57+00:00,"My TL is full with these shitty pxxdie.
How's disgusting?",-0.7906
2023-02-13 11:14:58+00:00,"seasons. Thatjiggering-on-too-much-hot-saucekind Get....... Rigid Goal-setting undying.
؟?
نمشے

🔹CX10🔹
🔹CX10🔹
🔹CX10🔹",-0.128
2023-02-13 11:14:59+00:00,"Born! noticeable Nell Selling Loneliness, sadness-
؟?
نمشے

🔹VOX2🔹
🔹VOX2🔹
🔹VOX2🔹",-0.7177
2023-02-13 11:14:59+00:00,forcing boy toy number 1 to watch evangelion to break him mentally just a little bit,0.0772
