created_at,text,sentiment
2023-02-13 18:46:31+00:00,pregnancy scares are literally the worst 😩,-0.7579
2023-02-13 18:46:27+00:00,Having sex at night when the sperms are asleep will help prevent unwanted pregnancy🙄 Try it this night and thank me later.🚶🏽‍♂️,0.5267
2023-02-13 18:46:17+00:00,the amount of testing they do within pregnancy is A LOT! I’m thankful all is coming out great but still .. how many times are you gonna draw my blood?,0.636
2023-02-13 18:45:04+00:00,Rihanna done got everybody pregnant . I’m digging the subtle pregnancy announcements on my TL today 🤭🥰,0.0
2023-02-13 18:44:31+00:00,"Pregnancy should take nine months before delivery. 
The labour party is no longer a new party or party without structure.

We are the midwives to a New NIGERIA.

Let's deliver under the LP 

#ObiDatti2023 
#ObiDients 
#LabourParty",0.7096
2023-02-13 18:44:21+00:00,riri’s first pregnancy was announced on january 2022. her second was announced february 2023. and we still haven’t gotten a suŋki selca with black haired ŋiҡi,0.0
2023-02-13 18:43:14+00:00,Pulling up asaps old tweets truly chronically online behavior because none of it matters lol. Y’all are talking about what you do and you’d leave him but y’all aren’t Rihanna and she just announced her SECOND pregnancy like can’t y’all let the lady be happy for a bit? Literally,0.9003
2023-02-13 18:42:57+00:00,Remember when everyone was like Rihanna’s gonna announce a world tour n she announced her pregnancy 😭😭😭,0.3612
2023-02-13 18:42:38+00:00,"""Rihanna reveals second pregnancy during Super Bowl halftime show""

Has anyone ever got pregnant twice during a Super Bown before?",0.8316
2023-02-13 18:42:13+00:00,The feelings I have towards this pregnancy are awful. Like how could I be this irresponsible &amp; get pregnant this soon after B? I feel like I robbed her of her toddler stage.,-0.3346
2023-02-13 18:41:29+00:00,This pregnancy really has proven to me that I have no friends and the ppl I call my friends I need to cut they ass off.😊,-0.1531
2023-02-13 18:41:01+00:00,I thought @rihanna already got the baby that's has to be the longest pregnancy I have witnessed,0.0
2023-02-13 18:40:41+00:00,"What month, during pregnancy, should you stop having sex?",-0.296
2023-02-13 18:39:50+00:00,Rihanna wears pregnancy well &amp; she is aging gracefully,0.6705
2023-02-13 18:39:41+00:00,The P in ASAP stand for pregnancy,0.0
2023-02-13 18:39:30+00:00,Did Rihanna just use the halftime show for a pregnancy announcement? Lmao,0.5994
2023-02-13 18:39:04+00:00,"See, I said “omg she’s pregnant” and got hit with, no, she’s still in postpartum by two people at this Super Bowl party and of-course immediately felt awful 

So I get not putting pregnancy on women. When she rubbed her belly I had a sigh of relief 🥲",0.745
2023-02-13 18:38:41+00:00,"“Adverse outcomes in pregnancy appeared more frequent if the child-to-be was exposed to cannabis in the early stages of pregnancy, retrospective data from a multicenter study suggested.”",-0.0772
2023-02-13 18:38:35+00:00,"So once Rihanna pulled up pregnant y’all really not gone give a woman in the midst of a geriatric pregnancy some grace ?! 
damn tough crowd 😩😂 #ithoughtitwasavibe 🤷🏽‍♀️ #TheNavy",-0.1759
2023-02-13 18:38:33+00:00,Not comparing but thinking about Beyoncé’s pregnancy announcement performance and Ri’s,0.0
2023-02-13 18:38:22+00:00,Congratulations on your pregnancy @mrs mahomes every trip to the Super Bowl means it’s baby time,0.8316
2023-02-13 18:38:18+00:00,"He Said “ Why You Got Pink , Its A Girl “ 🤣🤣🤣 Nigga Thats The Pregnancy Test Stick Cap 😭 Im Crying",-0.4767
2023-02-13 18:38:09+00:00,"to ppl who dont think shes pregnant, Rihannas entire performance was symbolic to her pregnancy. The fireworks representing sperm cells; her final song Diamonds she is alone in the air rubbing her belly ""you &amp; I, we're beautiful like diamonds in the sky"" come on 😭😭",0.6597
2023-02-13 18:37:51+00:00,"Halftime show review. Riri was gorgeous and stunning. The list of songs she sang was great. Performance wise it was mid for me. I don't know if it was the pregnancy or something else. But we all know she can move, move. I'll give it a 7.5 out of 10. But she still gorgeous",0.9246
2023-02-13 18:37:16+00:00,"Watching the #SuperBowl halftime show featuring @rihanna made me think about the complexities of gender, beauty standards, and representation societies across the🌏. Does it challenge traditional norms or reinforce them? worthy of discourse? #Feminism #Pregnancy #HalftimeShow",0.8105
2023-02-13 18:37:06+00:00,"Men  (after raw sex)
Day 1 : fam!  I fucked that babe omo i tooo knack am. I be bad guy

Day5: hope say this babe never get belle like this.  Checks google : can precum cause pregnancy...  If a lady swallows sperm will it..",-0.8127
2023-02-13 18:36:05+00:00,yall i rlly broke the teen pregnancy curse in my family😂😂😂,-0.743
2023-02-13 18:35:30+00:00,"Y’all just because Beyoncé can dance &amp; sing while pregnant does not mean everyone should or can. Also ask yourself, how much could this person do before the pregnancy?",0.0
2023-02-13 18:35:27+00:00,"I want my whole 9mos of pregnancy to b WORTH IT! i jus wanna eat, b happy and wait on my creation",0.8412
2023-02-13 18:35:21+00:00,"My good sis Rih is brave and batty to do pregnancy back to back, I want the kind of balls she has 😂😭 but she also can afford nannie’s and the kind of postpartum recovery support everyone needs so it might not be that bad when you’re rich.",0.9479
2023-02-13 18:35:15+00:00,"The thing we're not gunna do is shame other pregnant people into work/obligations/anything during their pregnancy bc 'if Rihanna can do that, pregnant people everywhere can handle anything!""

I'm sure that is not what Rih would want.",-0.2003
2023-02-13 18:34:53+00:00,Congratulations to Rihanna on her second pregnancy! I wish her the best!😍😌 #SuperBowlLVII #Rihanna #FentyBowl #AppleMusicHalftime,0.8011
2023-02-13 18:34:51+00:00,my boss was telling us about her last pregnancy today during lunch and when i tell you it's the worst thing i've ever heard in my life,-0.6249
2023-02-13 18:34:21+00:00,only thing i’m not fw is the pregnancy 😂 we not doing that,0.0
2023-02-13 18:34:21+00:00,pregnancy doin it’s thinggg,0.0
2023-02-13 18:34:16+00:00,"Okay, let’s wrap up Halle &amp; DDG &amp; Rihanna’s pregnancy announcement by 2p. Thanks lol",0.765
2023-02-13 18:34:11+00:00,I don’t wanna be pregnant until I can do my pregnancy how I want to. Cuz imma be so extra.,0.0772
2023-02-13 18:33:55+00:00,"Rihanna announcing her pregnancy…
 Guess I’m next then 😩",0.0
2023-02-13 18:33:34+00:00,My digestive system hasn’t been the same. Yo pregnancy fucked up my body. Todo me cae mal :(,-0.8074
2023-02-13 18:33:31+00:00,George Lopez reveals that the family feel angry after recovering from pregnancy,-0.5106
2023-02-13 18:33:10+00:00,"i hate jersey 😂😩 it’s nothing but drama ,fake love, secret animosity , hate , and pregnancy here .. i gotta go😭",-0.2776
2023-02-13 18:32:36+00:00,Women have been working and performing while pregnant since the beginning of time. Pregnancy is not a disability. #SuperBowl2023,0.0
