created_at,text,sentiment,lang
2023-02-11 17:27:03+00:00,"@_anareveles That’s how I was as soon as I found out I was pregnant 🥲 leggings became my best friend , wear dresses girl, you’ll probably be more comfy in that come the summer 😊",0.8126,en
2023-02-11 17:26:59+00:00,"Whenever I get pregnant, I want maternity pics, a nice planned out baby shower, I want a dress code @ the shower🥴🤷🏽‍♀️😂, a nursery for my baby🙏🏽, the full shabam.",0.5267,en
2023-02-11 17:26:56+00:00,Grassroots Progress to Hold Anti-Abortion Crisis Pregnancy Centers Accountable https://t.co/NihVXoGQmu via @CarrieNBaker,-0.3182,en
2023-02-11 17:26:56+00:00,"Ready for download now!

Link in bio. All x9 modules lasting over 1.5 hours of content to help you be the #bestdadyoucanbe 

#vimeo #ondemand #access247 #download #coaching #prenatal #pregnant https://t.co/iYDlIQ3QBr",0.6696,en
2023-02-11 17:26:56+00:00,This just makes me think about the time I was pregnant and my brother came to pick me up to go to my mams and he was shouting at my mam for going 1mph over the speed limit because I was in the car and she needed to go careful 🤣 https://t.co/dUTqO1gNfh,0.1531,en
2023-02-11 17:26:56+00:00,"“The problem is that they arrive, have their children and then leave Argentina never to come back,” Carignano said. “We cannot allow them to shamelessly lie to us saying that they are tourists when they are not.” https://t.co/C9Sefr9l8D",-0.7154,en
2023-02-11 17:26:48+00:00,Thousands of pregnant Russian women fly to Argentina https://t.co/nqf4o7K0ab,0.0,en
2023-02-11 17:26:34+00:00,"More than 5,000 pregnant Russian women have entered Argentina in recent months, including 33 on a single flight on Thursday, officials say. https://t.co/G0Q1o8AcvL",0.0,en
2023-02-11 17:26:31+00:00,"@TheOnly313Girl @TomCottonAR You forgot something:
At least 81 pregnancy resource centers and pro-life groups have been attacked and vandalized since a draft Supreme Court opinion overturning Roe v. Wade was leaked. 
You really want to go there?",-0.0276,en
2023-02-11 17:26:29+00:00,@old_xian i didnt know what happened and thought that the dude got pregnant by the old fisherman and left his home and gave birth,0.0,en
2023-02-11 17:26:19+00:00,"@JebraFaushay What is proven by your picture? I see 2 fat middle age men looking at each other with admiration, and that proofs men can get pregnant? If the obese one is pregnant bet it is an non attractive female, with breast removed and her uterus and ovaries intact. Sad!",0.6958,en
2023-02-11 17:26:13+00:00,@LakotaMan1 I hope your wish to become mother turns into reality and you can get pregnant,0.6808,en
2023-02-11 17:26:00+00:00,"Whether or not men can get pregnant is not the point. It's the distraction, to hide from you all of the other crazy things that had to be accepted by the public before we ever got to ""men can have periods and women can have phalluses.""",-0.5574,en
2023-02-11 17:25:53+00:00,@white_wears I am here to tell you that this is a lie. Many of these people have sex and get each other pregnant so it always look like they’re stuck with them bad bitches. I am a guy and I’m telling you how guys see these things.,-0.7845,en
2023-02-11 17:25:52+00:00,"@mizroc100 @ju1ius6 @queenyegypt @layxsnv As there aren’t any factors to do with the pregnancy, or pre existing conditions that could make it dangerous. It won’t bring on a miscarriage, communication with doctors is important.",-0.3182,en
2023-02-11 17:25:48+00:00,"step son has to make pregnant
https://t.co/ck7h0qkAqR",0.0,en
2023-02-11 17:25:47+00:00,@Nachi_Mushy @Anedy_MT But it’s true any way I know areas where kids are pregnant at 14,0.5719,en
2023-02-11 17:25:47+00:00,Real men propose with pregnancy not rings 💀😂,0.0,en
2023-02-11 17:25:47+00:00,i done seen everything expect a pregnant Chinese lady,0.0,en
2023-02-11 17:25:45+00:00,"@azsweetheart013 my step daughter is now pregnant, her and I have tix for St. Paul, her first time seeing them. She wasn't pregnant when we bought the tix. Ahhhh fucking COVID!",0.0,en
2023-02-11 17:25:45+00:00,@initforthetweet @JUNlPER @ohfourmouse Except they don’t help actual women get pregnant.,0.4019,en
2023-02-11 17:25:42+00:00,@AJBLAKT00F Lol fr cause what i want might get me pregnant 😂,0.4767,en
2023-02-11 17:25:37+00:00,@Wakefield20Eric @reesh5105 @MrDavidHunter @OscarAnAr @The_Trump_Train Men get pregnant? You liberals are crazy. https://t.co/jjFNkoPkVM,-0.34,en
2023-02-11 17:25:35+00:00,https://t.co/Lu5z8CRpJb,0.0,UNKNOWN
2023-02-11 17:25:35+00:00,"@Martyupnorth_2 It was easy, my wife was a PA at the biggest hospital in Portland and 2 mo pregnant when lockdown started, not political, never voted, just followed the data and her 15 yrs of experience. The government policies were terrible, and contrary to long established protocols.",-0.0516,en
2023-02-11 17:25:31+00:00,"Aemond grows cruel at their misfortune and hurts lucerys for every failed pregnancy
Osferth grows up kind and becomes a dragon keeper at dragon Stone. 
One day he stumbles upon the king hurting the queen
Everyone tells him to ignore it that it is his right as alone and king",-0.9186,en
2023-02-11 17:25:30+00:00,Why am i upset it’s cuz of pregnancy hormones lieek 😂😂,-0.3818,en
2023-02-11 17:25:30+00:00,"@Esqueer_ They want her to exist, but they want her to be cis-gendered, uneducated, barefoot, pregnant (with a white baby to put up for adoption)…..",0.1531,en
2023-02-11 17:25:21+00:00,"SEE HOW THE TIKTOKER MENTIONS MEDICAL RACISM AFFECTS THE PREGNANCY PRE AND POST OF HISPANIC WOMEN?!?? 

WHERE HAVE WE HEARD THIS? OH RIGHT, BLACK WOMEN. BLACK WOMEN ARE 6 TIMES MORE LIKELY TO SUFFER MATERNAL MORTALITY DUE TO MEDICAL RACISM. PER BEYONCÉ AND SERENA W AS EXAMPLES. https://t.co/45DD4M3FW8",-0.9588,en
2023-02-11 17:25:20+00:00,"@paul_paulcgil @vixmcintyre @punishedkimbo I don't call it a Punishment, instead it's taking responsibility &amp; it's for both parents .

You've the ability to get pregnant, you should be attentive &amp; cautious.",0.5466,en
