created_at,text,sentiment,lang
2023-02-12 21:31:06+00:00,@lesbians4renee sending love to you and him &lt;33,0.6369,en
2023-02-12 21:31:06+00:00,This boyyy atee tfc out my pussyyy now I want to get him a valentines gift 😩,0.4939,en
2023-02-12 21:31:06+00:00,@catturd2 Unified fart operation! Top secret of course.,0.5707,en
2023-02-12 21:31:06+00:00,@codewithvoid not disturbing and letting work without interruptions,0.6072,en
2023-02-12 21:31:06+00:00,"@oldest_sol @SoDeadNFT 40 is sexy bro! lot ppl in the ecosystem need to see the project back to the highs to finally understand we are here to stay. 

ppl always trash talk about sodead but we gonna show we ain’t playing.",0.5707,en
2023-02-12 21:31:06+00:00,Maria Catharine Clarence Polly Maurice Johnson #三亚 #徐州 https://t.co/HgOM6ukq8g,0.0,en
2023-02-12 21:31:07+00:00,@POTUS You’re a capitalist that loves high taxes.,0.5719,en
2023-02-12 21:31:07+00:00,My favorite day of the year,0.4588,en
2023-02-12 21:31:07+00:00,@CristianUGH22 #ChauAlfa,0.0,en
2023-02-12 21:31:07+00:00,@Jidion6 W,0.0,en
2023-02-12 21:31:07+00:00,@NT_SSLCK Yoooo the boys and I are saving a bit today then tommorrow till the end I think we running HR's if you trynna link! I run wiz,0.0,en
2023-02-12 21:31:07+00:00,"Well, better get used to enjoying yourself, because you're stuck with me now!",0.7712,en
2023-02-12 21:31:07+00:00,@ViewerAnon @ScreamMovies @jennaortega @masongooding @jasminsavoy @Sweaving @CourteneyCox @haydenpanettier @LianaLiberato @devynnekoda12 Is it anything like this @ViewerAnon https://t.co/oerg02q9jJ,0.3612,en
2023-02-12 21:31:07+00:00,Tide is about to be #1 in hoops and promptly lose to vol,-0.4019,en
2023-02-12 21:31:07+00:00,pano makakatulog!!!! may high pa ata ako from concert 😭😭😭 solid experience juskopo!!! 😭😭😭😭,0.4153,en
2023-02-12 21:31:07+00:00,Nelson Chesterton Bernard Gresham Giles Yeates #开房记录查询 #社工库 https://t.co/CV8X8jS1e6,0.0,en
2023-02-12 21:31:08+00:00,@Elizabeth241072 I’ll go in goal 🥅,0.0,en
2023-02-12 21:31:08+00:00,@MelissasProduce @Chiefs @Eagles @pettif @Chiefs,0.0,en
2023-02-12 21:31:08+00:00,@Enojadoland @PlayApex What? Nobody ever said that lol only ash and crypto,0.4215,en
2023-02-12 21:31:08+00:00,"$mmat Top analyst price target for next week ---&gt;🚀
 https://t.co/oj0WUaLOoW",0.2023,en
2023-02-12 21:31:08+00:00,"hiya, youre the sun to my moon!",0.0,en
2023-02-12 21:31:08+00:00,"@azthephoenix جوي
حياة",0.0,en
2023-02-12 21:31:08+00:00,@NikkiYeehaw18 It's finally happening! https://t.co/QWW97PSzOU,0.0,en
2023-02-12 21:31:07+00:00,Wait a sec-- that was Senator Vreenak's shuttle! https://t.co/2ja1DjnyU8 https://t.co/t6OjKDXIId,0.0,en
2023-02-12 21:31:08+00:00,"@GreatCheshire himself for that, but he also hates himself for hating himself. He's torn between being a monster and being a man, and so he decides to commit to being a man, because he doesn't want to hurt Buffy like that again, amongst other reasons, but that's the main one.",-0.344,en
2023-02-12 21:31:09+00:00,"Do 💕🥺💕🥺one thing 💕🥺💕🥺at a time, and💕🥺💕🥺 do well💕🥺💕🥺💕 💕🥺💕🥺💕 💕🥺💕🥺 
#苏州丝足 #苏州 #苏州资源 https://t.co/uGY0W1dSpM",0.0,en
2023-02-12 21:31:09+00:00,@ota_g @TaymanND Exactly.,0.0,en
2023-02-12 21:31:09+00:00,this: the power so to feel would have left him. #成都 #重庆 #南京 https://t.co/GtwoF4SSG9,0.0,en
2023-02-12 21:31:09+00:00,"Destined is turn off your shoes and keys
؟?
نمشے

🔹W77🔹
🔹W77🔹
🔹W77🔹",0.0,en
2023-02-12 21:31:09+00:00,@Sluttygracee @YSLONIKA you were prob too young tbh,0.0,en
2023-02-12 21:31:09+00:00,@quartarles another close one... we need to bully him more,-0.4939,en
2023-02-12 21:31:09+00:00,I LOVE SHAQ SO MUCH BRO #LOVEISLAND #LOVEISLANDUK https://t.co/q7jyT6nw4x,0.7125,en
2023-02-12 21:31:09+00:00,"@acgrayling Note how, even in the perfect EU, corrupt politicians exist too. We have enough of our own thank-you. Why do you want add to the number fleecing our country? Especially politicians which are not accountable to the electorate here.",0.6486,en
2023-02-12 21:31:09+00:00,@POTUS The intern is a brilliant troll,0.5859,en
2023-02-12 21:31:09+00:00,@Burnaboy cooking for our consumption. https://t.co/478UWI2MhH,0.0,en
2023-02-12 21:31:09+00:00,@RoobetReloads @ManCity @Roobet 🔥🔥🔥🫶,0.0,en
2023-02-12 21:31:10+00:00,"@Evanryt Yeah, you know — just doing totally normal stuff like most great restaurants.",0.854,en
2023-02-12 21:31:10+00:00,i only call you when its half past5,0.0,en
2023-02-12 21:31:10+00:00,"@Glukozavr @MuKappa Most people in Europe do understand, however realistically, how do you feel the Russian war will end? It will not be by us all defeating them &amp; Putin will not back down. I don't know what the answer can be sadly?",-0.8645,en
